name,organization,grades,boroughs_served,fields,cost,financial_aid,opportunity_type,bronx_priority,application_status,description,url,location,stipend,application_opens,deadline,program_dates,selectivity,selectivity_label,academic_intensity,application_requirements,recommendation_required,last_verified,difficulty_note
Regeneron Science Talent Search,Society for Science / Regeneron,12,Bronx;Manhattan;Brooklyn;Queens;Staten Island,Biology;Physics;Mathematics;Computer Science;Artificial Intelligence;Data Science;Engineering;Environmental Science;Biomedical Engineering,Free,Not needed,Competition,No,"OPEN NOW — 2027 application closes November 5, 2026 at 8 PM ET","One of the nation's premier high school science research competitions. Seniors submit original independent research, a research report, essays, transcripts, and recommendations. Around 2,600 students entered the 2026 competition and 300 were named scholars.",https://www.societyforscience.org/regeneron-sts/,National,"Up to $250,000 top award","June 1, 2026","November 5, 2026",2027 competition cycle,5,Extremely Competitive,5,Original independent research; research report; application essays; transcript; recommendations,Yes,2026-08-16,★★★★★ — Intended for students with substantial original research; rating is a STEM Pathways NYC estimate.
Congressional App Challenge,U.S. House of Representatives / Internet Education Foundation,9;10;11;12,Bronx;Manhattan;Brooklyn;Queens;Staten Island,Computer Science;Artificial Intelligence;Data Science;Computer Engineering;Engineering;Robotics,Free,Not needed,Competition,No,"OPEN NOW — deadline October 26, 2026 at 12 PM ET",A nationwide coding competition in which middle and high school students build and submit an original app. Students compete within participating congressional districts and may work individually or in teams of up to four.,https://www.congressionalappchallenge.us/students/student-registration/,Your participating congressional district,No standard stipend,"May 1, 2026","October 26, 2026",May–October 2026,2,Accessible to Competitive,3,Build an original app; register in a participating congressional district; follow district and competition rules,No,2026-08-16,★★☆☆☆ — Entry is broadly accessible; winning a district is more competitive.
Diamond Challenge,University of Delaware Horn Entrepreneurship,9;10;11;12,Bronx;Manhattan;Brooklyn;Queens;Staten Island,Engineering;Computer Science;Artificial Intelligence;Environmental Science;Biomedical Engineering;Data Science;Robotics,Free,Not needed,Competition,No,"2027 submission window opens September 16, 2026","A global entrepreneurship competition for high school teams developing business or social-impact ventures. Teams create an original solution, develop a concept, and compete through submission and pitching rounds for more than $100,000 in awards.",https://diamondchallenge.org/competition/,Global / Virtual and live pitch options,Awards available,"September 16, 2026","January 14, 2027",September 2026 – April 2027,3,Competitive,3,Team of 2–4 students ages 14–18; adult advisor; venture concept and competition submission,No,2026-08-16,"★★★☆☆ — Open-entry first round, but advancing to pitching and finals is competitive."
MITES Summer,MIT,11,Bronx;Manhattan;Brooklyn;Queens;Staten Island,Engineering;Electrical Engineering;Mechanical Engineering;Computer Engineering;Computer Science;Artificial Intelligence;Mathematics;Physics,Free,Available,Summer Program,No,Expected to open November 2026; typically due February 1,"A free six-week residential STEM experience at MIT for students applying during 11th grade. Students complete rigorous STEM coursework, electives, college preparation, and community-building experiences.",https://mites.mit.edu/discover-mites/mites-summer/,"MIT — Cambridge, Massachusetts",Program is free; room and board included,Typically November,Typically February 1,Six weeks during summer,5,Extremely Competitive,5,Application; academic information; essays; recommendations and supporting materials required by MITES,Yes,2026-08-16,★★★★★ — National MIT program with rigorous academic expectations and holistic selection.
MITES Semester,MIT,11,Bronx;Manhattan;Brooklyn;Queens;Staten Island,Engineering;Computer Science;Artificial Intelligence;Data Science;Mathematics;Physics,Free,Available,Summer Program,No,Expected to open November 2026; typically due February 1,"A free six-month hybrid STEM enrichment experience for rising seniors. The program runs from summer through December and combines rigorous courses, projects, mentorship, and college preparation.",https://mites.mit.edu/discover-mites/mites-semester/,Hybrid / National,Free program,Typically November,Typically February 1,June–December,5,Extremely Competitive,5,Shares application and eligibility requirements with MITES Summer,Yes,2026-08-16,★★★★★ — National MIT program with intensive coursework and selective admission.
MIT Beaver Works Summer Institute,MIT Lincoln Laboratory / MIT Beaver Works,11,Bronx;Manhattan;Brooklyn;Queens;Staten Island,Engineering;Computer Science;Artificial Intelligence;Computer Engineering;Electrical Engineering;Robotics;Data Science,Free for qualifying families; otherwise tuition may apply,Available,Summer Program,No,2026 cycle completed; prepare for 2027 registration and prerequisite courses,"A four-week project-based STEM institute for students entering senior year. Courses include areas such as autonomous systems, AI, cybersecurity, embedded technology, radar, satellites, quantum software, and microelectronics. Students must complete prerequisite online work before summer selection.",https://bwsi.mit.edu/,MIT / Virtual prerequisite courses,No standard stipend,Online registration historically begins in winter,Summer application follows prerequisite coursework,Four-week summer institute plus prerequisite coursework,5,Extremely Competitive,5,Register for prerequisite course; successfully complete required online work; submit summer application and essays,Varies,2026-08-16,★★★★★ — Advanced prerequisite coursework acts as an additional selection stage before summer admission.
Summer Science Program,SSP International,11,Bronx;Manhattan;Brooklyn;Queens;Staten Island,Physics;Biology;Biochemistry;Mathematics;Data Science;Computer Science,Varies by family income,Available,Research,No,2026 closed; 2027 application not yet announced,"A rigorous five-week residential research experience for high school juniors. Students conduct collaborative research in areas such as astrophysics, biochemistry, bacterial genomics, cell biology, and related scientific disciplines.",https://ssp.org/,Multiple U.S. university campuses,Some students with high financial need may receive cash stipends,Future cycle not yet announced,Future cycle not yet announced,Five-week residential summer program,5,Extremely Competitive,5,Academic prerequisites depend on research track; full application and supporting materials,Varies,2026-08-16,★★★★★ — Intensive research program for highly motivated students with significant academic preparation.
Simons Summer Research Program,Stony Brook University,11,Bronx;Manhattan;Brooklyn;Queens;Staten Island,Engineering;Biology;Physics;Mathematics;Computer Science;Biomedical Engineering;Environmental Science,Free,Not needed,Research,No,2026 closed; watch for 2027 nomination and application cycle,"A research apprenticeship in which high school juniors join Stony Brook faculty research groups, work on a research project, and produce a research abstract and poster. Schools may have nomination limits.",https://www.stonybrook.edu/simons/,"Stony Brook University — Long Island, New York",No standard stipend listed,Future cycle not yet announced,2026 deadline was February 5,Six weeks; 2026 ran June 29–August 7,5,Extremely Competitive,5,Current junior; age 16+ by program start; U.S. citizen or permanent resident; school nomination; application; recommendations,Yes,2026-08-16,★★★★★ — School nomination plus national research selection makes admission exceptionally competitive.
Garcia Summer Research Program,Stony Brook University Garcia Center,10;11;12,Bronx;Manhattan;Brooklyn;Queens;Staten Island,Engineering;Materials Engineering;Chemistry;Physics;Biology;Mathematics,"$4,000 laboratory fee plus optional housing",Not clearly listed,Research,No,2026 closed; future cycle not yet announced,An intensive research program centered on materials science and engineered interfaces. High school researchers work in laboratories and may continue projects beyond the summer.,https://www.stonybrook.edu/garcia/summer-program/apply.html,"Stony Brook University — Long Island, New York",No standard stipend listed,Future cycle not yet announced,Future cycle not yet announced,2026 ran June 24–August 7,4,Highly Competitive,5,Age 16+; approximately 3.8 unweighted GPA; strong coursework; qualifying standardized scores; transcript; three recommendations,Yes — three letters required in 2026,2026-08-16,★★★★☆ — Very high academic thresholds and extensive application requirements.
Rockefeller Summer Science Research Program,The Rockefeller University / RockEDU,11;12,Bronx;Manhattan;Brooklyn;Queens;Staten Island,Biology;Biochemistry;Biomedical Engineering;Data Science;Research,Free,Not needed,Research,Yes,2026 closed; future cycle not yet announced,A free full-time team-based mentored research experience for high school juniors and seniors. Students work with scientists on hands-on laboratory research and participate in a research community at Rockefeller University.,https://www.rockefeller.edu/outreach/ssrp/,The Rockefeller University — Manhattan,No standard stipend listed,"2026 opened October 13, 2025","2026 deadline was January 2, 2026",2026: June 22–August 6,4,Highly Competitive,5,Current junior or senior; age 16+ by program start; full-time availability; application; recommendation,Yes,2026-08-16,★★★★☆ — Intensive mentored research with limited capacity at a major biomedical research institution.
RockEDU Jumpstart,The Rockefeller University / RockEDU,11;12,Bronx;Manhattan;Brooklyn;Queens;Staten Island,Biology;Biochemistry;Biomedical Engineering;Research,Free,Not needed,Research,Yes,2026 closed; future cycle not yet announced,A selective NYC program supporting 16 high school students through after-school laboratory training followed by full-time participation in Rockefeller's Summer Science Research Program.,https://www.rockefeller.edu/outreach/lab-jumpstart/,The Rockefeller University — Manhattan,No standard stipend listed,Future cycle not yet announced,Future cycle not yet announced,Spring after-school phase + full-time summer research,5,Extremely Competitive,5,NYC high school student; junior or senior; age 16+ by summer; commitment to spring and summer phases,Varies,2026-08-16,★★★★★ — Rockefeller states the program supports only 16 high school students.
Rockefeller Summer Neuroscience Program,The Rockefeller University,9;10;11;12,Bronx;Manhattan;Brooklyn;Queens;Staten Island,Biology;Neuroscience;Biomedical Engineering;Research,Free,Not needed,Summer Program,Yes,2026 closed; future cycle not yet announced,"A two-week neuroscience program for NYC public high school students. Students explore modern neuroscience, visit research facilities, work with mentors, and design experiments.",https://www.rockefeller.edu/outreach/snp/,The Rockefeller University — Manhattan,No standard stipend listed,Future cycle not yet announced,2026 deadline was March 15,Two-week summer program,3,Competitive,4,NYC public high school student; application materials vary by cycle,Varies,2026-08-16,"★★★☆☆ — Selective research enrichment, but shorter and broader-access than Rockefeller's full SSRP."
MSK Summer Student Program,Memorial Sloan Kettering Cancer Center,11,Bronx;Manhattan;Brooklyn;Queens;Staten Island,Biology;Biomedical Engineering;Computer Science;Data Science;Chemistry;Engineering,Free,Not needed,Internship,Yes,2026 closed; future cycle expected to open in winter,"An eight-week paid biomedical or computational research internship at Memorial Sloan Kettering. Students work in MSK laboratories with mentors and complete a research project. MSK reports approximately 20 interns selected from 1,000+ applications.",https://www.mskcc.org/education-training/summer-student,Memorial Sloan Kettering — Manhattan,"$1,200 for 2026","2026 opened December 1, 2025",2026 deadline was February 6,Eight weeks; 2026 ran June 29–August 21,5,Extremely Competitive,5,Current junior; within 25 miles of MSK main campus; legally authorized to work in U.S.; 3.5 science GPA; essays; resume; transcripts; two recommendations,Yes — two,2026-08-16,★★★★★ — MSK reports roughly a 2% acceptance rate.
